Creating tab : 
Done!

Filling  tab : 

Calculating Prime table, Please wait !
 -*18*- 830000 -->     : 12684713
 -*17*- 840000 -->     : 12847433
 -*16*- 850000 -->     : 13012261
 -*15*- 860000 -->     : 13177433
 -*14*- 870000 -->     : 13341187
 -*13*- 880000 -->     : 13506011
 -*12*- 890000 -->     : 13669741
 -*11*- 900000 -->     : 13834103
 -*10*- 910000 -->     : 13998679
 -*9*- 920000 -->     : 14163143
 -*8*- 930000 -->     : 14328269
 -*7*- 940000 -->     : 14492237
 -*6*- 950000 -->     : 14657917
 -*5*- 960000 -->     : 14822231
 -*4*- 970000 -->     : 14988613
 -*3*- 980000 -->     : 15153847
 -*2*- 990000 -->     : 15318907
 -*1*- 1000000 -->     : 15485863

All Done !!

READY !!!!!

Press ENTER!


 -*0*- 1010000 -->     : 15650303
 -*1*- 1020000 -->     : 15816469
 -*2*- 1030000 -->     : 15981557
 -*3*- 1040000 -->     : 16147561
 -*4*- 1050000 -->     : 16313527
 -*5*- 1060000 -->     : 16480501
 -*6*- 1070000 -->     : 16646677
 -*7*- 1080000 -->     : 16812361
 -*8*- 1090000 -->     : 16977973
 -*9*- 1100000 -->     : 17144489
 -*10*- 1110000 -->     : 17311727
 -*11*- 1120000 -->     : 17477423
 -*12*- 1130000 -->     : 17643037
 -*13*- 1140000 -->     : 17810803
 -*14*- 1150000 -->     : 17977291
 -*15*- 1160000 -->     : 18145249
 -*16*- 1170000 -->     : 18312037
 -*17*- 1180000 -->     : 18480347
 -*18*- 1190000 -->     : 18647243
 -*19*- 1200000 -->     : 18815231
 -*20*- 1210000 -->     : 18982883
 -*21*- 1220000 -->     : 19150577
 -*22*- 1230000 -->     : 19318703
 -*23*- 1240000 -->     : 19485533
 -*24*- 1250000 -->     : 19654991
 -*25*- 1260000 -->     : 19822093
 -*26*- 1270000 -->     : 19989791
 -*27*- 1280000 -->     : 20158049
 -*28*- 1290000 -->     : 20326759
 -*29*- 1300000 -->     : 20495843
 -*30*- 1310000 -->     : 20664361
 -*31*- 1320000 -->     : 20832433
 -*32*- 1330000 -->     : 21000853
 -*33*- 1340000 -->     : 21169831
 -*34*- 1350000 -->     : 21338609
 -*35*- 1360000 -->     : 21506941
 -*36*- 1370000 -->     : 21675881
 -*37*- 1380000 -->     : 21844297
 -*38*- 1390000 -->     : 22012453
 -*39*- 1400000 -->     : 22182343
 -*40*- 1410000 -->     : 22353031
 -*41*- 1420000 -->     : 22522919
 -*42*- 1430000 -->     : 22691443
 -*43*- 1440000 -->     : 22860683
 -*44*- 1450000 -->     : 23029399
 -*45*- 1460000 -->     : 23199721
 -*46*- 1470000 -->     : 23368379
 -*47*- 1480000 -->     : 23538737
 -*48*- 1490000 -->     : 23708479
 -*49*- 1500000 -->     : 23879519
 -*50*- 1510000 -->     : 24048797
 -*51*- 1520000 -->     : 24218651
 -*52*- 1530000 -->     : 24387893
 -*53*- 1540000 -->     : 24557887
 -*54*- 1550000 -->     : 24727249
 -*55*- 1560000 -->     : 24898427
 -*56*- 1570000 -->     : 25069267
 -*57*- 1580000 -->     : 25241299
 -*58*- 1590000 -->     : 25411777
 -*59*- 1600000 -->     : 25582153
 -*60*- 1610000 -->     : 25752917
 -*61*- 1620000 -->     : 25923059
 -*62*- 1630000 -->     : 26093519
 -*63*- 1640000 -->     : 26265469
 -*64*- 1650000 -->     : 26434907
 -*65*- 1660000 -->     : 26605609
 -*66*- 1670000 -->     : 26777507
 -*67*- 1680000 -->     : 26948063
 -*68*- 1690000 -->     : 27118249
 -*69*- 1700000 -->     : 27290279
 -*70*- 1710000 -->     : 27461653
 -*71*- 1720000 -->     : 27632113
 -*72*- 1730000 -->     : 27803969
 -*73*- 1740000 -->     : 27974867
 -*74*- 1750000 -->     : 28146689
 -*75*- 1760000 -->     : 28317637
 -*76*- 1770000 -->     : 28490171
 -*77*- 1780000 -->     : 28660867
 -*78*- 1790000 -->     : 28833901
 -*79*- 1800000 -->     : 29005541
 -*80*- 1810000 -->     : 29178257
 -*81*- 1820000 -->     : 29349643
 -*82*- 1830000 -->     : 29522497
 -*83*- 1840000 -->     : 29693977
 -*84*- 1850000 -->     : 29866219
 -*85*- 1860000 -->     : 30036287
 -*86*- 1870000 -->     : 30207979
 -*87*- 1880000 -->     : 30379903
 -*88*- 1890000 -->     : 30552593
 -*89*- 1900000 -->     : 30723761
 -*90*- 1910000 -->     : 30895807
 -*91*- 1920000 -->     : 31070219
 -*92*- 1930000 -->     : 31243013
 -*93*- 1940000 -->     : 31415641
 -*94*- 1950000 -->     : 31589027
 -*95*- 1960000 -->     : 31762387
 -*96*- 1970000 -->     : 31934521
 -*97*- 1980000 -->     : 32107171
 -*98*- 1990000 -->     : 32280191
 -*99*- 2000000 -->     : 32452843
 -*100*- 2010000 -->     : 32625209
 -*101*- 2020000 -->     : 32798153
 -*102*- 2030000 -->     : 32970967
 -*103*- 2040000 -->     : 33145117
 -*104*- 2050000 -->     : 33317371
 -*105*- 2060000 -->     : 33489689
 -*106*- 2070000 -->     : 33663871
 -*107*- 2080000 -->     : 33836479
 -*108*- 2090000 -->     : 34010831
 -*109*- 2100000 -->     : 34186049
 -*110*- 2110000 -->     : 34361009
 -*111*- 2120000 -->     : 34534007
 -*112*- 2130000 -->     : 34709251
 -*113*- 2140000 -->     : 34882457
 -*114*- 2150000 -->     : 35056607
 -*115*- 2160000 -->     : 35230241
 -*116*- 2170000 -->     : 35403397
 -*117*- 2180000 -->     : 35577769
 -*118*- 2190000 -->     : 35751311
 -*119*- 2200000 -->     : 35926307
 -*120*- 2210000 -->     : 36099559
 -*121*- 2220000 -->     : 36273761
 -*122*- 2230000 -->     : 36447503
 -*123*- 2240000 -->     : 36621419
 -*124*- 2250000 -->     : 36796379
 -*125*- 2260000 -->     : 36971861
 -*126*- 2270000 -->     : 37143913
 -*127*- 2280000 -->     : 37319687
 -*128*- 2290000 -->     : 37493747
 -*129*- 2300000 -->     : 37667659
 -*130*- 2310000 -->     : 37842263
 -*131*- 2320000 -->     : 38017867
 -*132*- 2330000 -->     : 38190907
 -*133*- 2340000 -->     : 38365139
 -*134*- 2350000 -->     : 38539471
 -*135*- 2360000 -->     : 38714369
 -*136*- 2370000 -->     : 38887747
 -*137*- 2380000 -->     : 39063091
 -*138*- 2390000 -->     : 39237481
 -*139*- 2400000 -->     : 39410867
 -*140*- 2410000 -->     : 39585587
 -*141*- 2420000 -->     : 39759641
 -*142*- 2430000 -->     : 39935213
 -*143*- 2440000 -->     : 40111087
 -*144*- 2450000 -->     : 40285789
 -*145*- 2460000 -->     : 40460741
 -*146*- 2470000 -->     : 40637147
 -*147*- 2480000 -->     : 40810697
 -*148*- 2490000 -->     : 40986793
 -*149*- 2500000 -->     : 41161739
 -*150*- 2510000 -->     : 41337427
 -*151*- 2520000 -->     : 41513261
 -*152*- 2530000 -->     : 41690101
 -*153*- 2540000 -->     : 41864377
 -*154*- 2550000 -->     : 42042061
 -*155*- 2560000 -->     : 42216827
 -*156*- 2570000 -->     : 42391303
 -*157*- 2580000 -->     : 42567113
 -*158*- 2590000 -->     : 42743089
 -*159*- 2600000 -->     : 42920191
 -*160*- 2610000 -->     : 43095979
 -*161*- 2620000 -->     : 43272461
 -*162*- 2630000 -->     : 43447373
 -*163*- 2640000 -->     : 43623149
 -*164*- 2650000 -->     : 43800299
 -*165*- 2660000 -->     : 43975717
 -*166*- 2670000 -->     : 44152781
 -*167*- 2680000 -->     : 44328307
 -*168*- 2690000 -->     : 44504843
 -*169*- 2700000 -->     : 44680319
 -*170*- 2710000 -->     : 44856223
 -*171*- 2720000 -->     : 45032437
 -*172*- 2730000 -->     : 45208589
 -*173*- 2740000 -->     : 45382451
 -*174*- 2750000 -->     : 45558553
 -*175*- 2760000 -->     : 45734873
 -*176*- 2770000 -->     : 45910519
 -*177*- 2780000 -->     : 46086977
 -*178*- 2790000 -->     : 46264321
 -*179*- 2800000 -->     : 46441207
 -*180*- 2810000 -->     : 46617629
 -*181*- 2820000 -->     : 46793869
 -*182*- 2830000 -->     : 46970699
 -*183*- 2840000 -->     : 47147459
 -*184*- 2850000 -->     : 47323781
 -*185*- 2860000 -->     : 47500631
 -*186*- 2870000 -->     : 47678909
 -*187*- 2880000 -->     : 47855287
 -*188*- 2890000 -->     : 48032629
 -*189*- 2900000 -->     : 48210713
 -*190*- 2910000 -->     : 48387587
 -*191*- 2920000 -->     : 48565117
 -*192*- 2930000 -->     : 48742583
 -*193*- 2940000 -->     : 48919771
 -*194*- 2950000 -->     : 49096849
 -*195*- 2960000 -->     : 49273369
 -*196*- 2970000 -->     : 49449973
 -*197*- 2980000 -->     : 49625413
 -*198*- 2990000 -->     : 49803113
 -*199*- 3000000 -->     : 49979687
 -*200*- 3010000 -->     : 50157469
 -*201*- 3020000 -->     : 50334653
 -*202*- 3030000 -->     : 50512543
 -*203*- 3040000 -->     : 50689711
 -*204*- 3050000 -->     : 50865901
 -*205*- 3060000 -->     : 51045011
 -*206*- 3070000 -->     : 51223189
 -*207*- 3080000 -->     : 51399079
 -*208*- 3090000 -->     : 51576911
 -*209*- 3100000 -->     : 51754979
 -*210*- 3110000 -->     : 51931669
 -*211*- 3120000 -->     : 52109297
 -*212*- 3130000 -->     : 52288217
 -*213*- 3140000 -->     : 52465823
 -*214*- 3150000 -->     : 52642813
 -*215*- 3160000 -->     : 52821053
 -*216*- 3170000 -->     : 52998997
 -*217*- 3180000 -->     : 53176147
 -*218*- 3190000 -->     : 53353733
 -*219*- 3200000 -->     : 53533511
 -*220*- 3210000 -->     : 53712287
 -*221*- 3220000 -->     : 53890303
 -*222*- 3230000 -->     : 54067997
 -*223*- 3240000 -->     : 54247099
 -*224*- 3250000 -->     : 54426161
 -*225*- 3260000 -->     : 54603763
 -*226*- 3270000 -->     : 54781847
 -*227*- 3280000 -->     : 54960821
 -*228*- 3290000 -->     : 55138051
 -*229*- 3300000 -->     : 55316903
 -*230*- 3310000 -->     : 55495103
 -*231*- 3320000 -->     : 55673921
 -*232*- 3330000 -->     : 55850953
 -*233*- 3340000 -->     : 56029619
 -*234*- 3350000 -->     : 56206459
 -*235*- 3360000 -->     : 56385781
 -*236*- 3370000 -->     : 56565121
